uri	MazalUrl	related-uri
djr:person_242	http://uli.nli.org.il/F/?func=direct&doc_number=242&local_base=nlx10	https://viaf.org/viaf/90053109
djr:person_5806	http://uli.nli.org.il/F/?func=direct&doc_number=5806&local_base=nlx10	https://viaf.org/viaf/2795076
djr:person_5828	http://uli.nli.org.il/F/?func=direct&doc_number=5828&local_base=nlx10	https://viaf.org/viaf/78870991
djr:person_5924	http://uli.nli.org.il/F/?func=direct&doc_number=5924&local_base=nlx10	https://viaf.org/viaf/298231724
djr:person_6148	http://uli.nli.org.il/F/?func=direct&doc_number=6148&local_base=nlx10	https://viaf.org/viaf/55037491
djr:person_6180	http://uli.nli.org.il/F/?func=direct&doc_number=6180&local_base=nlx10	https://viaf.org/viaf/96215590
djr:person_6234	http://uli.nli.org.il/F/?func=direct&doc_number=6234&local_base=nlx10	https://viaf.org/viaf/120696962
djr:person_6279	http://uli.nli.org.il/F/?func=direct&doc_number=6279&local_base=nlx10	https://viaf.org/viaf/49605298
djr:person_6311	http://uli.nli.org.il/F/?func=direct&doc_number=6311&local_base=nlx10	https://viaf.org/viaf/97605818
djr:person_6356	http://uli.nli.org.il/F/?func=direct&doc_number=6356&local_base=nlx10	https://viaf.org/viaf/97606124
djr:person_6373	http://uli.nli.org.il/F/?func=direct&doc_number=6373&local_base=nlx10	https://viaf.org/viaf/36986982
djr:person_6503	http://uli.nli.org.il/F/?func=direct&doc_number=6503&local_base=nlx10	https://viaf.org/viaf/97607063
djr:person_6524	http://uli.nli.org.il/F/?func=direct&doc_number=6524&local_base=nlx10	https://viaf.org/viaf/4961518
djr:person_	http://uli.nli.org.il/F/?func=direct&doc_number=&local_base=nlx10	https://viaf.org/viaf/79054878
djr:person_6734	http://uli.nli.org.il/F/?func=direct&doc_number=6734&local_base=nlx10	https://viaf.org/viaf/97607796
djr:person_6883	http://uli.nli.org.il/F/?func=direct&doc_number=6883&local_base=nlx10	https://viaf.org/viaf/2465383
djr:person_7036	http://uli.nli.org.il/F/?func=direct&doc_number=7036&local_base=nlx10	https://viaf.org/viaf/170548043
djr:person_7070	http://uli.nli.org.il/F/?func=direct&doc_number=7070&local_base=nlx10	https://viaf.org/viaf/101072562
djr:person_7111	http://uli.nli.org.il/F/?func=direct&doc_number=7111&local_base=nlx10	https://viaf.org/viaf/2480239
djr:person_7167	http://uli.nli.org.il/F/?func=direct&doc_number=7167&local_base=nlx10	https://viaf.org/viaf/116712957
djr:person_7187	http://uli.nli.org.il/F/?func=direct&doc_number=7187&local_base=nlx10	https://viaf.org/viaf/33319351
djr:person_7236	http://uli.nli.org.il/F/?func=direct&doc_number=7236&local_base=nlx10	https://viaf.org/viaf/56604836
djr:person_7360	http://uli.nli.org.il/F/?func=direct&doc_number=7360&local_base=nlx10	https://viaf.org/viaf/5137281
djr:person_7377	http://uli.nli.org.il/F/?func=direct&doc_number=7377&local_base=nlx10	https://viaf.org/viaf/60183430
djr:person_7378	http://uli.nli.org.il/F/?func=direct&doc_number=7378&local_base=nlx10	https://viaf.org/viaf/316452454
djr:person_7379	http://uli.nli.org.il/F/?func=direct&doc_number=7379&local_base=nlx10	https://viaf.org/viaf/97611291
djr:person_7633	http://uli.nli.org.il/F/?func=direct&doc_number=7633&local_base=nlx10	https://viaf.org/viaf/2596257
djr:person_7650	http://uli.nli.org.il/F/?func=direct&doc_number=7650&local_base=nlx10	https://viaf.org/viaf/76378640
djr:person_7651	http://uli.nli.org.il/F/?func=direct&doc_number=7651&local_base=nlx10	https://viaf.org/viaf/7439446
djr:person_7682	http://uli.nli.org.il/F/?func=direct&doc_number=7682&local_base=nlx10	https://viaf.org/viaf/54372172
djr:person_7785	http://uli.nli.org.il/F/?func=direct&doc_number=7785&local_base=nlx10	https://viaf.org/viaf/34586669
djr:person_8254	http://uli.nli.org.il/F/?func=direct&doc_number=8254&local_base=nlx10	https://viaf.org/viaf/24939318
djr:person_8257	http://uli.nli.org.il/F/?func=direct&doc_number=8257&local_base=nlx10	https://viaf.org/viaf/97615503
djr:person_8358	http://uli.nli.org.il/F/?func=direct&doc_number=8358&local_base=nlx10	https://viaf.org/viaf/39886380
djr:person_8680	http://uli.nli.org.il/F/?func=direct&doc_number=8680&local_base=nlx10	https://viaf.org/viaf/190979429
djr:person_8793	http://uli.nli.org.il/F/?func=direct&doc_number=8793&local_base=nlx10	https://viaf.org/viaf/59077912
djr:person_8804	http://uli.nli.org.il/F/?func=direct&doc_number=8804&local_base=nlx10	https://viaf.org/viaf/111175791
djr:person_8961	http://uli.nli.org.il/F/?func=direct&doc_number=8961&local_base=nlx10	https://viaf.org/viaf/5737264
djr:person_9071	http://uli.nli.org.il/F/?func=direct&doc_number=9071&local_base=nlx10	https://viaf.org/viaf/33162787
djr:person_9120	http://uli.nli.org.il/F/?func=direct&doc_number=9120&local_base=nlx10	https://viaf.org/viaf/14765396
djr:person_9125	http://uli.nli.org.il/F/?func=direct&doc_number=9125&local_base=nlx10	https://viaf.org/viaf/38068646
djr:person_9936	http://uli.nli.org.il/F/?func=direct&doc_number=9936&local_base=nlx10	https://viaf.org/viaf/21397824
djr:person_10049	http://uli.nli.org.il/F/?func=direct&doc_number=10049&local_base=nlx10	https://viaf.org/viaf/109309949
djr:person_10067	http://uli.nli.org.il/F/?func=direct&doc_number=10067&local_base=nlx10	https://viaf.org/viaf/2465602
djr:person_10754	http://uli.nli.org.il/F/?func=direct&doc_number=10754&local_base=nlx10	https://viaf.org/viaf/85327033
djr:person_10935	http://uli.nli.org.il/F/?func=direct&doc_number=10935&local_base=nlx10	https://viaf.org/viaf/110642632
djr:person_10936	http://uli.nli.org.il/F/?func=direct&doc_number=10936&local_base=nlx10	https://viaf.org/viaf/42938929
djr:person_11392	http://uli.nli.org.il/F/?func=direct&doc_number=11392&local_base=nlx10	https://viaf.org/viaf/82155370
djr:person_11459	http://uli.nli.org.il/F/?func=direct&doc_number=11459&local_base=nlx10	https://viaf.org/viaf/79416053
djr:person_11481	http://uli.nli.org.il/F/?func=direct&doc_number=11481&local_base=nlx10	https://viaf.org/viaf/7399844
djr:person_11529	http://uli.nli.org.il/F/?func=direct&doc_number=11529&local_base=nlx10	https://viaf.org/viaf/34452380
djr:person_11721	http://uli.nli.org.il/F/?func=direct&doc_number=11721&local_base=nlx10	https://viaf.org/viaf/54409392
djr:person_11890	http://uli.nli.org.il/F/?func=direct&doc_number=11890&local_base=nlx10	https://viaf.org/viaf/97632061
djr:person_12074	http://uli.nli.org.il/F/?func=direct&doc_number=12074&local_base=nlx10	https://viaf.org/viaf/32980925
djr:person_12460	http://uli.nli.org.il/F/?func=direct&doc_number=12460&local_base=nlx10	https://viaf.org/viaf/27305178
djr:person_13001	http://uli.nli.org.il/F/?func=direct&doc_number=13001&local_base=nlx10	https://viaf.org/viaf/109322990
djr:person_13083	http://uli.nli.org.il/F/?func=direct&doc_number=13083&local_base=nlx10	https://viaf.org/viaf/82585792
djr:person_13241	http://uli.nli.org.il/F/?func=direct&doc_number=13241&local_base=nlx10	https://viaf.org/viaf/110344312
djr:person_13431	http://uli.nli.org.il/F/?func=direct&doc_number=13431&local_base=nlx10	https://viaf.org/viaf/56919013
djr:person_13455	http://uli.nli.org.il/F/?func=direct&doc_number=13455&local_base=nlx10	https://viaf.org/viaf/22255259
djr:person_13457	http://uli.nli.org.il/F/?func=direct&doc_number=13457&local_base=nlx10	https://viaf.org/viaf/16138245
djr:person_13553	http://uli.nli.org.il/F/?func=direct&doc_number=13553&local_base=nlx10	https://viaf.org/viaf/116249115
djr:person_13558	http://uli.nli.org.il/F/?func=direct&doc_number=13558&local_base=nlx10	https://viaf.org/viaf/97374884
djr:person_13668	http://uli.nli.org.il/F/?func=direct&doc_number=13668&local_base=nlx10	https://viaf.org/viaf/66407873
djr:person_	http://uli.nli.org.il/F/?func=direct&doc_number=&local_base=nlx10	https://viaf.org/viaf/298401264
djr:person_13826	http://uli.nli.org.il/F/?func=direct&doc_number=13826&local_base=nlx10	https://viaf.org/viaf/46975821
djr:person_13988	http://uli.nli.org.il/F/?func=direct&doc_number=13988&local_base=nlx10	https://viaf.org/viaf/84992800
djr:person_14192	http://uli.nli.org.il/F/?func=direct&doc_number=14192&local_base=nlx10	https://viaf.org/viaf/160879075
djr:person_14396	http://uli.nli.org.il/F/?func=direct&doc_number=14396&local_base=nlx10	https://viaf.org/viaf/290692443
djr:person_14551	http://uli.nli.org.il/F/?func=direct&doc_number=14551&local_base=nlx10	https://viaf.org/viaf/97644253
djr:person_14652	http://uli.nli.org.il/F/?func=direct&doc_number=14652&local_base=nlx10	https://viaf.org/viaf/97644875
djr:person_14919	http://uli.nli.org.il/F/?func=direct&doc_number=14919&local_base=nlx10	https://viaf.org/viaf/166447419
djr:person_15057	http://uli.nli.org.il/F/?func=direct&doc_number=15057&local_base=nlx10	https://viaf.org/viaf/52580757
djr:person_15102	http://uli.nli.org.il/F/?func=direct&doc_number=15102&local_base=nlx10	https://viaf.org/viaf/10053060
djr:person_15256	http://uli.nli.org.il/F/?func=direct&doc_number=15256&local_base=nlx10	https://viaf.org/viaf/2435152
djr:person_15305	http://uli.nli.org.il/F/?func=direct&doc_number=15305&local_base=nlx10	https://viaf.org/viaf/109235689
djr:person_15539	http://uli.nli.org.il/F/?func=direct&doc_number=15539&local_base=nlx10	https://viaf.org/viaf/97650300
djr:person_16043	http://uli.nli.org.il/F/?func=direct&doc_number=16043&local_base=nlx10	https://viaf.org/viaf/7620496
djr:person_16081	http://uli.nli.org.il/F/?func=direct&doc_number=16081&local_base=nlx10	https://viaf.org/viaf/24731044
djr:person_16101	http://uli.nli.org.il/F/?func=direct&doc_number=16101&local_base=nlx10	https://viaf.org/viaf/66590090
djr:person_16104	http://uli.nli.org.il/F/?func=direct&doc_number=16104&local_base=nlx10	https://viaf.org/viaf/70953128
djr:person_16774	http://uli.nli.org.il/F/?func=direct&doc_number=16774&local_base=nlx10	https://viaf.org/viaf/91249764
djr:person_16900	http://uli.nli.org.il/F/?func=direct&doc_number=16900&local_base=nlx10	https://viaf.org/viaf/2466221
djr:person_17386	http://uli.nli.org.il/F/?func=direct&doc_number=17386&local_base=nlx10	https://viaf.org/viaf/44295189
djr:person_17504	http://uli.nli.org.il/F/?func=direct&doc_number=17504&local_base=nlx10	https://viaf.org/viaf/57024419
djr:person_17709	http://uli.nli.org.il/F/?func=direct&doc_number=17709&local_base=nlx10	https://viaf.org/viaf/82735306
djr:person_17779	http://uli.nli.org.il/F/?func=direct&doc_number=17779&local_base=nlx10	https://viaf.org/viaf/79118572
djr:person_17814	http://uli.nli.org.il/F/?func=direct&doc_number=17814&local_base=nlx10	https://viaf.org/viaf/297997450
