URI	Related URI	According to	Description
https://usaybia.net/person/1000	https://onomasticon.irht.cnrs.fr/en/entry/id/31284	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1000	https://onomasticon.irht.cnrs.fr/en/entry/id/44101	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1000	https://onomasticon.irht.cnrs.fr/en/entry/id/28251	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1000	https://ar.wikipedia.org/wiki/%D8%A3%D8%A8%D9%88_%D8%A7%D9%84%D9%81%D8%B1%D8%AC_%D8%A8%D9%86_%D9%87%D9%86%D8%AF%D9%88	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1000	https://viaf.org/viaf/95676109	https://usaybia.net	is probably the same as
https://usaybia.net/person/1000	https://dx.doi.org/10.1163/1573-3912_ei3_COM_30817	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1012	https://onomasticon.irht.cnrs.fr/en/entry/id/4239	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1012	https://onomasticon.irht.cnrs.fr/en/entry/id/30816	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1012	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%AC%D8%B2%D9%84%D8%A9	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1012	https://viaf.org/viaf/93768036	https://usaybia.net	is probably the same as
https://usaybia.net/person/1013	https://onomasticon.irht.cnrs.fr/en/entry/id/50025	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1013	https://ar.wikipedia.org/wiki/%D8%A3%D8%AD%D9%85%D8%AF_%D8%A8%D9%86_%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%B1	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1013	https://viaf.org/viaf/27313450	https://usaybia.net	is probably the same as
https://usaybia.net/person/1016	https://onomasticon.irht.cnrs.fr/en/entry/id/50140	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1016	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%AC%D9%84%D8%AC%D9%84	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1016	https://viaf.org/viaf/100901734	https://usaybia.net	is probably the same as
https://usaybia.net/person/1017	https://viaf.org/viaf/25966308	https://usaybia.net	is probably the same as
https://usaybia.net/person/1017	https://dx.doi.org/10.1163/1573-3912_ei3_COM_30847	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1020	https://onomasticon.irht.cnrs.fr/en/entry/id/4200	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1022	https://onomasticon.irht.cnrs.fr/en/entry/id/40082	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1022	https://onomasticon.irht.cnrs.fr/en/entry/id/50107	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1022	https://onomasticon.irht.cnrs.fr/en/entry/id/50108	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1022	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%A7%D9%84%D9%83%D8%AA%D8%A7%D9%86%D9%8A	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1023	https://onomasticon.irht.cnrs.fr/en/entry/id/50108	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1026	https://onomasticon.irht.cnrs.fr/en/entry/id/50145	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1028	https://onomasticon.irht.cnrs.fr/en/entry/id/4270	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1028	https://viaf.org/viaf/3706014	https://usaybia.net	is probably the same as
https://usaybia.net/person/1032	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%A7%D9%84%D8%AE%D9%8A%D8%A7%D8%B7_(%D8%AA%D9%88%D8%B6%D9%8A%D8%AD)	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1032	https://viaf.org/viaf/90082292	https://usaybia.net	is probably the same as
https://usaybia.net/person/1032	https://dx.doi.org/10.1163/1573-3912_islam_SIM_3254	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1037	https://onomasticon.irht.cnrs.fr/en/entry/id/4115	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1040	https://viaf.org/viaf/90064124	https://usaybia.net	is probably the same as
https://usaybia.net/person/1044	https://onomasticon.irht.cnrs.fr/en/entry/id/4259	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1044	https://onomasticon.irht.cnrs.fr/en/entry/id/20077	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1044	https://onomasticon.irht.cnrs.fr/en/entry/id/32077	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1048	https://onomasticon.irht.cnrs.fr/en/entry/id/30815	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1048	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D9%85%D8%B7%D8%B1%D9%88%D8%AD	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1048	https://viaf.org/viaf/42230819	https://usaybia.net	is probably the same as
https://usaybia.net/person/1048	https://dx.doi.org/10.1163/1573-3912_islam_SIM_3291	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1053	https://onomasticon.irht.cnrs.fr/en/entry/id/4258	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1065	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%A7%D9%84%D9%85%D9%82%D8%B4%D8%B1	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1070	https://ar.wikipedia.org/wiki/%D8%A3%D8%B3%D8%B9%D8%AF_%D8%A7%D9%84%D9%85%D8%B7%D8%B1%D8%A7%D9%86	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1070	https://viaf.org/viaf/57026057	https://usaybia.net	is probably the same as
https://usaybia.net/person/1072	https://onomasticon.irht.cnrs.fr/en/entry/id/50101	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1076	https://onomasticon.irht.cnrs.fr/en/entry/id/4148	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1076	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D9%86%D8%A7%D8%B9%D9%85%D8%A9	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1076	https://viaf.org/viaf/29460203	https://usaybia.net	is probably the same as
https://usaybia.net/person/1076	https://dx.doi.org/10.1163/1573-3912_ei3_COM_30905	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1076	http://syriaca.org/person/1002	https://usaybia.net	is probably the same as
https://usaybia.net/person/1082	https://onomasticon.irht.cnrs.fr/en/entry/id/4229	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1082	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D9%82%D9%88%D8%B3%D9%8A%D9%86	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/109	https://ar.wikipedia.org/wiki/%D8%A3%D8%A8%D9%88_%D8%B9%D9%85%D8%B1%D9%88_%D8%A7%D9%84%D8%B2%D8%AC%D8%A7%D8%AC%D9%8A	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1093	https://ar.wikipedia.org/wiki/%D8%B9%D9%84%D9%8A_%D8%A8%D9%86_%D8%B1%D8%B6%D9%88%D8%A7%D9%86	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1093	https://viaf.org/viaf/100198249	https://usaybia.net	is probably the same as
https://usaybia.net/person/1093	https://dx.doi.org/10.1163/1573-3912_islam_SIM_3335	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1094	https://onomasticon.irht.cnrs.fr/en/entry/id/50059	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1094	https://ar.wikipedia.org/wiki/%D8%AE%D8%A7%D9%84%D8%AF_%D8%A8%D9%86_%D9%8A%D8%B2%D9%8A%D8%AF_%D8%A8%D9%86_%D8%B1%D9%88%D9%85%D8%A7%D9%86_%D8%A7%D9%84%D9%86%D8%B5%D8%B1%D8%A7%D9%86%D9%8A	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1095	https://onomasticon.irht.cnrs.fr/en/entry/id/250072	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1095	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%A7%D9%84%D8%B1%D9%88%D9%85%D9%8A%D8%A9	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1096	https://onomasticon.irht.cnrs.fr/en/entry/id/13697	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1096	https://onomasticon.irht.cnrs.fr/en/entry/id/14391	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1096	https://onomasticon.irht.cnrs.fr/en/entry/id/14391	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1096	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%B1%D8%B4%D8%AF	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1096	https://viaf.org/viaf/19688718	https://usaybia.net	is probably the same as
https://usaybia.net/person/1096	https://dx.doi.org/10.1163/1573-3912_islam_SIM_8671	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1096	https://plato.stanford.edu/entries/ibn-rushd-natural/	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1101	https://onomasticon.irht.cnrs.fr/en/entry/id/4260	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1102	https://onomasticon.irht.cnrs.fr/en/entry/id/14679	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1102	https://onomasticon.irht.cnrs.fr/en/entry/id/50019	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1102	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%A7%D9%84%D8%B5%D9%81%D8%A7%D8%B1	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1102	https://viaf.org/viaf/80591625	https://usaybia.net	is probably the same as
https://usaybia.net/person/1102	https://dx.doi.org/10.1163/1573-3912_ei3_COM_32206	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1104	https://onomasticon.irht.cnrs.fr/en/entry/id/4243	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1108	https://onomasticon.irht.cnrs.fr/en/entry/id/4248	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1108	https://onomasticon.irht.cnrs.fr/en/entry/id/9357	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1108	https://viaf.org/viaf/113154981839267741776	https://usaybia.net	is probably the same as
https://usaybia.net/person/1108	https://dx.doi.org/10.1163/1573-3912_ei3_COM_32213	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1109	https://viaf.org/viaf/163503142	https://usaybia.net	is probably the same as
https://usaybia.net/person/1109	https://dx.doi.org/10.1163/1573-3912_ei3_COM_32214	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1111	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%B3%D9%85%D8%AC%D9%88%D9%86	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1111	https://viaf.org/viaf/89855424	https://usaybia.net	is probably the same as
https://usaybia.net/person/1112	https://onomasticon.irht.cnrs.fr/en/entry/id/50045	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1112	https://ar.wikipedia.org/wiki/%D8%A3%D8%B5%D8%A8%D8%BA_%D8%A7%D9%84%D9%85%D9%87%D8%B1%D9%8A	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1112	https://viaf.org/viaf/226394858	https://usaybia.net	is probably the same as
https://usaybia.net/person/1112	https://dx.doi.org/10.1163/1573-3912_islam_SIM_3357	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1116	https://onomasticon.irht.cnrs.fr/en/entry/id/4146	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1122	https://onomasticon.irht.cnrs.fr/en/entry/id/4231	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1122	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%A7%D9%84%D8%B4%D8%A8%D9%84_%D8%A7%D9%84%D8%A8%D8%BA%D8%AF%D8%A7%D8%AF%D9%8A	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1122	https://viaf.org/viaf/309796819	https://usaybia.net	is probably the same as
https://usaybia.net/person/1122	https://dx.doi.org/10.1163/1573-3912_islam_SIM_3376	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1125	https://onomasticon.irht.cnrs.fr/en/entry/id/30190	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1125	https://onomasticon.irht.cnrs.fr/en/entry/id/13056	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1125	https://onomasticon.irht.cnrs.fr/en/entry/id/30190	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1125	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%B3%D9%8A%D9%86%D8%A7	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1125	https://viaf.org/viaf/89770781	https://usaybia.net	is probably the same as
https://usaybia.net/person/1125	https://dx.doi.org/10.1163/1573-3912_islam_COM_0342	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1125	http://www.iranicaonline.org/articles/avicenna-index	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1125	https://plato.stanford.edu/entries/ibn-sina/	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1126	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%B3%D9%82%D9%84%D8%A7%D8%A8	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1126	https://dx.doi.org/10.1163/1573-3912_ei3_COM_32252	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1129	https://onomasticon.irht.cnrs.fr/en/entry/id/250717	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1129	https://ar.wikipedia.org/wiki/%D8%B9%D8%B2_%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D8%A8%D9%86_%D8%A7%D9%84%D8%B3%D9%88%D9%8A%D8%AF%D9%8A	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1129	https://viaf.org/viaf/90055164	https://usaybia.net	is probably the same as
https://usaybia.net/person/1129	https://dx.doi.org/10.1163/1573-3912_islam_COM_1129	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1136	https://onomasticon.irht.cnrs.fr/en/entry/id/4218	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1136	https://ar.wikipedia.org/wiki/%D8%A3%D8%A8%D9%88_%D8%A7%D9%84%D9%81%D8%B1%D8%AC_%D8%A8%D9%86_%D8%A7%D9%84%D8%B7%D9%8A%D8%A8	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1136	https://viaf.org/viaf/96981261	https://usaybia.net	is probably the same as
https://usaybia.net/person/1136	https://dx.doi.org/10.1163/1573-3912_islam_SIM_3389	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1136	https://dx.doi.org/10.1163/1875-9831_isla_SIM_0130	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1136	http://syriaca.org/person/543	https://usaybia.net	is probably the same as
https://usaybia.net/person/1139	https://onomasticon.irht.cnrs.fr/en/entry/id/30779	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1139	https://onomasticon.irht.cnrs.fr/en/entry/id/14062	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1139	https://onomasticon.irht.cnrs.fr/en/entry/id/4244	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1139	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%A7%D9%84%D8%AA%D9%84%D9%85%D9%8A%D8%B0	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1139	https://viaf.org/viaf/71708119	https://usaybia.net	is probably the same as
https://usaybia.net/person/1139	https://dx.doi.org/10.1163/1573-3912_islam_SIM_3393	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1150	https://onomasticon.irht.cnrs.fr/en/entry/id/50173	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1154	https://onomasticon.irht.cnrs.fr/en/entry/id/4101	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1154	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%A3%D8%AB%D8%A7%D9%84	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1155	https://onomasticon.irht.cnrs.fr/en/entry/id/4252	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1155	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%A7%D9%84%D8%A3%D8%AB%D8%B1%D8%AF%D9%8A	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1156	https://onomasticon.irht.cnrs.fr/en/entry/id/4249	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1157	https://onomasticon.irht.cnrs.fr/en/entry/id/4251	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1158	https://onomasticon.irht.cnrs.fr/en/entry/id/4250	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1160	https://onomasticon.irht.cnrs.fr/en/entry/id/4253	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1162	https://onomasticon.irht.cnrs.fr/en/entry/id/50016	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1162	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D9%88%D8%A7%D9%81%D8%AF	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1162	https://viaf.org/viaf/14993633	https://usaybia.net	is probably the same as
https://usaybia.net/person/1162	https://dx.doi.org/10.1163/1573-3912_islam_COM_0345	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1165	https://onomasticon.irht.cnrs.fr/en/entry/id/4191	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1165	https://onomasticon.irht.cnrs.fr/en/entry/id/50032	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1166	https://onomasticon.irht.cnrs.fr/en/entry/id/4241	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1168	https://onomasticon.irht.cnrs.fr/en/entry/id/4181	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1168	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%A7%D9%84%D8%B2%D9%8A%D8%A7%D8%AA_(%D9%88%D8%B2%D9%8A%D8%B1)	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1168	https://viaf.org/viaf/60492474	https://usaybia.net	is probably the same as
https://usaybia.net/person/1174	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%B2%D9%87%D8%B1	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1174	https://dx.doi.org/10.1163/1573-3912_islam_COM_0348	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1176	https://onomasticon.irht.cnrs.fr/en/entry/id/4204	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1176	https://ar.wikipedia.org/wiki/ابن_زرعة	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1176	https://viaf.org/viaf/300141010	https://usaybia.net	is probably the same as
https://usaybia.net/person/1176	http://syriaca.org/person/188	https://usaybia.net	is probably the same as
https://usaybia.net/person/1191	https://onomasticon.irht.cnrs.fr/en/entry/id/4169	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1191	https://onomasticon.irht.cnrs.fr/en/entry/id/4223	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1191	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%A8%D9%83%D8%B3	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1194	https://onomasticon.irht.cnrs.fr/en/entry/id/4126	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/12	https://onomasticon.irht.cnrs.fr/en/entry/id/4116	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1207	https://ar.wikipedia.org/wiki/%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85_%D8%A8%D9%86_%D8%B3%D9%86%D8%A7%D9%86	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1207	https://viaf.org/viaf/17399648	https://usaybia.net	is probably the same as
