uri	gender	birthDate	deathDate	activeDate	birthPlace	deathPlace	nameLat	firstNameLat	lastNameLat	normLa	nameAra	firstNameAra	lastNameAra	alternateNameAra	alternateFirstNameAra	alternateLastNameAra	alternateNameLat	alternateFirstNameLat	alternateLastNameLat
DiJeSt201	male	1892	1973		Jerusalem (Israel)	[]	ʻĀrif, ʻĀrif	ʻĀrif	ʻĀrif	ʻĀrif ʻĀrif	العارف، عارف	عارف	العارف	{'المقدسي، عارف العارف'}	{'عارف العارف'}	{'المقدسي، عارف العارف'}	"{""al-'Arif, 'Arif"", 'Aref, Aref', ""el-'Aref, 'Aref"", 'Aref a-Aref', 'ʻĀrif, ʻĀrif', 'al-Aref, Aref', 'Araf al-Araf'}"	"'', 'Aref', ""'Aref"", ""'Arif"", 'ʻĀrif'"	"'', 'al-Aref', 'Aref', ""el-'Aref"", ""al-'Arif"", 'ʻĀrif'"
DiJeSt255	male	810	870			[]	Bukhārī, Muḥammad ibn Ismāʻīl	Muḥammad ibn Ismāʻīl	Bukhārī	Muḥammad ibn Ismāʻīl Bukhārī	البخاري، محمد بن اسماعيل	محمد بن اسماعيل	البخاري	{'البخاري، اسماعيل بن ابراهيم، الجعفي', 'الجعفي، محمد بن اسمعيل، ابو عبد الله', 'الجعفي، اسماعيل بن ابراهيم، البخاري'}	{'محمد بن اسمعيل، ابو عبد الله', 'اسماعيل بن ابراهيم، الجعفي', 'اسماعيل بن ابراهيم، البخاري'}	{'البخاري، اسماعيل بن ابراهيم، الجعفي', 'الجعفي، محمد بن اسمعيل، ابو عبد الله', 'الجعفي، اسماعيل بن ابراهيم، البخاري'}	"{""al-Bukhari, Muhammad ibn Isma'il"", ""al-Buhari, Muhammad Ibn Isma'il"", 'Buhari, Imam', ""al-Bokhari, Muhammad Ibn Isma'il"", 'Bukhari, Muhammad ibn Ismail', 'Muhammad ibn Ismail al-Bukhari', ""Abdallah Muhammad ibn Ismail ibn Ibrahim ibn al-Mughira ibn Bardizda (Abu 'Abdallah) al-Jufi""}"	"'Imam', '', 'Muhammad ibn Ismail', ""Muhammad ibn Isma'il"", ""Muhammad Ibn Isma'il"""	'Buhari', '', 'al-Bukhari', 'al-Bokhari', 'al-Buhari', 'Bukhari'
DiJeSt281	male	1951				[]	Al-Haj, Majid	Majid	Al-Haj	Majid Al-Haj	الحاج، ماجد	ماجد	الحاج	{'الحاج، ماجد ابراهيم'}	{'ماجد ابراهيم'}	{'الحاج، ماجد ابراهيم'}	"{'Ḥājj, Majīd', 'al-Haj, Majid', ""Alḥag', Mag'id"", 'Haj, Majid Al', 'Haj, Majid Ibrahim'}"	"'Majid Ibrahim', 'Majid', 'Majid Al', ""Mag'id"", 'Majīd'"	"'al-Haj', 'Ḥājj', ""Alḥag'"", 'Haj'"
DiJeSt284	male			898		[]	Ḥakīm al-Tirmidhī, Muḥammad ibn ʻAlī	Muḥammad ibn ʻAlī	Ḥakīm al-Tirmidhī	Muḥammad ibn ʻAlī Ḥakīm al-Tirmidhī	الحكيم الترمذي، محمد بن علي	محمد بن علي	الحكيم الترمذي	{'الترمذي، محمد بن علي، الحكيم', 'الحكيم الترمذي،', 'الترمذي، الحكيم', 'أبو عبد الله محمد بن علي الترمذي،', 'الترمذي، حكيم', 'الحكيم الترمذي، محمد بن علي، أبو عبد الله', 'الحكيم الترمزي، محمد بن علي'}	{'', 'محمد بن علي، أبو عبد الله', 'محمد بن علي، الحكيم', 'حكيم', 'الحكيم', 'محمد بن علي'}	{'', 'الترمذي، محمد بن علي، الحكيم', 'الترمذي، الحكيم', 'الترمذي، حكيم', 'الحكيم الترمذي، محمد بن علي، أبو عبد الله', 'الحكيم الترمزي، محمد بن علي'}	"{'Theosoph von Tirmid̲', 'Abu Abdulloḣ Muḣammad ibn Ali ibn al-Ḣasan ibn Bashir al-Ḣakim at-Termiziĭ', ""al-Hakim al-Tirmidi, Abu-'Abdallah Muhammad ibn-'Ali"", 'al-Tirmidhī, al-Ḥakīm', 'Ḥakīm at-Tirmid̲ī', 'Tirmidhī', ""Al-Hakim al-Tirmidhi, Muhammad ibn 'Ali"", 'Ḥakīm al-Tirmidhī, Abū ʻAbd Allāh Muḥammad ibn ʻAlī', 'Ḣakim at-Termiziĭ', 'Termiziĭ', 'Hakim al-Tirmidhi, Muhammad ibn Ali', 'Ḥakīm al-Tirmidhī, Muḥammad ibn ʻAlī', 'Muḥammad ibn ʻAlī al-Ḥakīm al-Tirmidhī'}"	"'', 'Muḥammad ibn ʻAlī', 'Abū ʻAbd Allāh Muḥammad ibn ʻAlī', 'Muhammad ibn Ali', ""Abu-'Abdallah Muhammad ibn-'Ali"", ""Muhammad ibn 'Ali"", 'al-Ḥakīm'"	'', 'Al-Hakim al-Tirmidhi', 'Ḥakīm al-Tirmidhī', 'al-Hakim al-Tirmidi', 'al-Tirmidhī', 'Hakim al-Tirmidhi'
DiJeSt286	male	1898	1987		Damanhur	[]	al-Hakim, Taufik	Taufik	al-Hakim	Taufik al-Hakim	الحكيم، توفيق	توفيق	الحكيم	{'توفيق الحكيم،'}	{''}	{''}	{'Tewfik El Hakim', 'El Hakim, Tewfik', 'Taufiq al-Hakim', 'Hakīm, Tawfīq', 'al-Hakim, Tawfiq', 'HAKIM, TAUFIQ AL'}	'', 'Tawfīq', 'Tewfik', 'TAUFIQ AL', 'Tawfiq'	'', 'al-Hakim', 'Hakīm', 'HAKIM', 'El Hakim'
DiJeSt358	male	917	[0981,0982]			[]	Jaṣṣāṣ, Aḥmad ibn ʻAlī	Aḥmad ibn ʻAlī	Jaṣṣāṣ	Aḥmad ibn ʻAlī Jaṣṣāṣ	الجصاص، احمد بن على الرازي	احمد بن على الرازي	الجصاص	{'الجصاص، أبو بكر', 'الجصاص، احمد بن على الرازي، ابو بكر', 'الحنفي، احمد بن على، الجصاص', 'ابو بكر الرازي الجصاص،', 'الجصاص الرازي، احمد بن على، ابو بكر', 'الرازي، احمد بن على، الجصاص'}	{'', 'احمد بن على الرازي، ابو بكر', 'احمد بن على، ابو بكر', 'احمد بن على، الجصاص', 'أبو بكر'}	{'', 'الجصاص، أبو بكر', 'الجصاص، احمد بن على الرازي، ابو بكر', 'الحنفي، احمد بن على، الجصاص', 'الجصاص الرازي، احمد بن على، ابو بكر', 'الرازي، احمد بن على، الجصاص'}	"{'Razi, Ahmad bin Ali', 'Aḥmad ibn ʻAlī al-Jaṣṣāṣ', ""Abu Bakr Ahmad ibn 'Ali Ar-Razi al-Jassas"", 'Ahmad bin Ali al-Razi', ""al-Jassas, Abu Bakr Ahmad ibn 'Ali Ar-Razi"", 'Abū Bakr Aḥmad ibn ʻAlī al-Rāzī al-Jaṣṣāṣ', 'Jaṣṣāṣ, Abū Bakr Aḥmad ibn ʻAlī al-Rāzī', 'al-Razi, Abu Bakr', 'Cassâs'}"	"'', 'Abū Bakr Aḥmad ibn ʻAlī al-Rāzī', ""Abu Bakr Ahmad ibn 'Ali Ar-Razi"", 'Abu Bakr', 'Ahmad bin Ali'"	'', 'Razi', 'al-Razi', 'Jaṣṣāṣ', 'al-Jassas'
DiJeSt361	male	1730~	1804			[]	Aḥmad Pasha al-Jazzār	Aḥmad Pasha al-Jazzār	Aḥmad Pasha al-Jazzār	Aḥmad Pasha al-Jazzār Aḥmad Pasha al-Jazzār	الجزار، احمد باشا	احمد باشا	الجزار	{'جزار باشا، احمد', 'احمد باشا الجزار،'}	{'', 'احمد'}	{'', 'جزار باشا، احمد'}	{'al-Jazzar, Ahmad', 'Cessar, Ahmet', 'al-Djazzar, Ahmad', 'Ahmad Pasha al-Jazzar', 'Ahmed le Boucher', 'Ahmet pasa Cessar'}	'', 'Ahmad', 'Ahmet'	'', 'al-Djazzar', 'Cessar', 'al-Jazzar'
DiJeSt363	male	1077	1166			[]	ʻAbd al-Qādir al-Jīlānī				الجيلانى، عبد القادر بن عبد الله	عبد القادر بن عبد الله	الجيلانى	{'الجيلى، عبد القادر', 'الحنبلى، عبد القادر، الجيلانى', 'عبد القادر الجيلاني،', 'الجيلاني، عبد القادر', 'الحسني، عبد القادر، الجيلاني', 'الحسيني، عبد القادر، الجيلاني', 'الكيلاني، عبد القادر بن موسى', 'الشافعى، عبد القادر، الجيلانى', 'عبد القادر الجيلاني، محيي الدين', 'عبد القادر الكيلاني، محيي الدين'}	{'', 'محيي الدين', 'عبد القادر، الجيلانى', 'عبد القادر', 'عبد القادر بن موسى', 'عبد القادر، الجيلاني'}	{'الجيلى، عبد القادر', '', 'الحنبلى، عبد القادر، الجيلانى', 'الجيلاني، عبد القادر', 'الحسني، عبد القادر، الجيلاني', 'الحسيني، عبد القادر، الجيلاني', 'الكيلاني، عبد القادر بن موسى', 'الشافعى، عبد القادر، الجيلانى', 'عبد القادر الجيلاني، محيي الدين', 'عبد القادر الكيلاني، محيي الدين'}	"{'Abd al-Qadir al-Jilani', ""al-gilani, 'abd Al-Qadir"", ""Guilani, 'abd-Al-Kadir"", 'Jilani, Abdulqadir', 'Muhyuddin Abdul Qadir Gilani', ""'Abd al-Kadir al-Djilani"", 'Gilani, Abdul Qadir', ""'Abd al-Kadir al-Gilani"", ""'Abd al-Qadir al-Jilani"", 'Jilani, Aptulkatir', ""al-Jilani, 'Abd al-Kadir ibn 'Abdallah"", ""'Abdulqadir Jilani"", 'Jilani, Abd al-Qadir', 'Gilani, Muhyddeen Abdul-Qadir', 'Aptulkatir, Jilani', 'Abdul Qadir Gilani', 'Abdal Qadr Djilani', 'Abdulqadir, Jilani', 'Djilani, Abdal Qadr', ""Djilani, 'abd Al-Kadir"", 'al-Jilani, Abd al-Qadir'}"	"'', 'Abdal Qadr', ""'abd Al-Kadir"", 'Abd al-Qadir', 'Aptulkatir', 'Abdulqadir', ""'Abd al-Kadir ibn 'Abdallah"", ""'abd-Al-Kadir"", 'Muhyddeen Abdul-Qadir', ""'abd Al-Qadir"", 'Abdul Qadir', 'Jilani'"	'', 'al-Jilani', 'Gilani', 'Guilani', 'Aptulkatir', 'Djilani', 'al-gilani', 'Abdulqadir', 'Jilani'
DiJeSt370	male	1028	1085			[]	Imām al-Ḥaramayn al-Juwaynī, ʻAbd al-Malik ibn ʻAbd Allāh	ʻAbd al-Malik ibn ʻAbd Allāh	Imām al-Ḥaramayn al-Juwaynī	ʻAbd al-Malik ibn ʻAbd Allāh Imām al-Ḥaramayn al-Juwaynī	امام الحرمين الجويني، عبد الملك بن عبد الله	عبد الملك بن عبد الله	امام الحرمين الجويني	{'الجويني، امام الحرمين أبو المعالي', 'عبد الملك بن عبد الله امام الحرمين الجويني،', 'السنبسي، عبد الملك بن عبد الله، امام الحرمين الجويني', 'الجويني، عبد الملك بن محمد امام الحرمين', 'النيسابوري، عبد الملك بن عبد الله، امام الحرمين الجويني', 'الطائي، عبد الملك بن عبد الله، امام الحرمين الجويني', 'الأشعري، عبد الملك بن عبد الله، امام الحرمين الجويني', 'امام الحرمين، عبد الملك بن عبد الله', 'الجويني، أبو المعالي', 'الشافعي، عبد الملك بن عبد الله، امام الحرمين الجويني'}	{'', 'أبو المعالي', 'امام الحرمين أبو المعالي', 'عبد الملك بن عبد الله', 'عبد الملك بن محمد امام الحرمين', 'عبد الملك بن عبد الله، امام الحرمين الجويني'}	{'', 'الجويني، امام الحرمين أبو المعالي', 'السنبسي، عبد الملك بن عبد الله، امام الحرمين الجويني', 'الجويني، عبد الملك بن محمد امام الحرمين', 'النيسابوري، عبد الملك بن عبد الله، امام الحرمين الجويني', 'الطائي، عبد الملك بن عبد الله، امام الحرمين الجويني', 'الأشعري، عبد الملك بن عبد الله، امام الحرمين الجويني', 'امام الحرمين، عبد الملك بن عبد الله', 'الجويني، أبو المعالي', 'الشافعي، عبد الملك بن عبد الله، امام الحرمين الجويني'}	"{'Guwaini', 'Juwaynī, ʻAbd al-Malik ibn ʻAbd Allāh', 'ʻAbd al-Malik ibn ʻAbd Allāh al-Juwaynī', 'ʻAbd al-Malik ibn ʻAbd Allāh al-Juwainī', 'Imām al-Ḥaramayn al-Juwaynī', 'Jouaini, Imam al-Haramain', 'Imam al-Haramain al-Juwaini', 'Juwaini, Imam Al Haramain', 'Djuwaini, Imam al-Haramain', 'Imam al-Haramain al-Jouaini', 'Juwainī, ʻAbd al-Malik ibn ʻAbd Allāh', 'Imam al-Haramayn al-Juwayni, Abd al-Malik ibn Abd Allah', 'Abūʼl-Maʻālī ʻAbd al-Malik al-Djuwainī', 'ʻAbd al-Malik ibn ʻAbd Allāh al-Imām al-Ḥaramayn al-Juwaynī', ""Juwayni, 'Abd al-Malik ibn 'Abd Allah Imam al-Haramayn"", ""Juwaini, Abd al-Malik ibn 'Abdallah Imam al-Haramain"", 'Djuwainī, Abūʼl-Maʻālī ʻAbd al-Malik'}"	"'', 'Imam Al Haramain', ""Abd al-Malik ibn 'Abdallah Imam al-Haramain"", 'Imam al-Haramain', 'ʻAbd al-Malik ibn ʻAbd Allāh', 'Abd al-Malik ibn Abd Allah', ""'Abd al-Malik ibn 'Abd Allah Imam al-Haramayn"", 'Abūʼl-Maʻālī ʻAbd al-Malik'"	'Juwaini', '', 'Juwainī', 'Djuwainī', 'Imam al-Haramayn al-Juwayni', 'Juwaynī', 'Juwayni', 'Djuwaini', 'Jouaini'
DiJeSt399	male			[0937,09xx]		[]	Qirqisānī, Yaʻqūb ibn Isḥāq	Yaʻqūb ibn Isḥāq	Qirqisānī	Yaʻqūb ibn Isḥāq Qirqisānī	القرقساني، يعقوب بن اسحاق	يعقوب بن اسحاق	القرقساني	{'القرقساني، يعقوب بن اسحق', 'القرقساني، أبو يوسف يعقوب', 'أبو يوسف يعقوب بن اسحاق القرقساني،', 'يعقوب بن اسحاق القرقساني،'}	{'', 'يعقوب بن اسحق', 'أبو يوسف يعقوب'}	{'', 'القرقساني، يعقوب بن اسحق', 'القرقساني، أبو يوسف يعقوب'}	"{'Kirkisani, Yaakov', 'al-Qirqisānī, Yaʻqūb ibn Isḥāq', 'Yaacov', 'Qirqisānī, Abū Yūsuf Yaʻqūb ibn Isḥāq', ""Ya'qub Al-Qirqisani, Abu-Yusuf"", 'Karkasani, Abu Jussf Yakub', ""al-Qirqisani, Ya'qub"", ""Qirqisani, Ya'qub ibn Ishaq al-"", 'Alḳirḳisani, Abu Yosef Yaʻaḳov', 'Qirqisānī, Yaʻqūb ibn Isḥāq', 'Yaʻaḳov', ""Kirkisani, Abu Yusuf Ya'kub"", 'Kirkisānī, Jacob', 'Alḳirḳisani, Yaʻaḳov', 'Kirkisānī, Yaʻqūb', 'Kirkisani, Josef', 'Ḳirḳesani, Yaʻaḳov'}"	"'', 'Abu-Yusuf', 'Abu Jussf Yakub', 'Yaʻaḳov', 'Jacob', 'Yaʻqūb', ""Ya'qub"", ""Ya'qub ibn Ishaq al-"", 'Yaakov', 'Yaʻaḳov', ""Abu Yusuf Ya'kub"", 'Josef', 'Abu Yosef Yaʻaḳov', 'Abū Yūsuf Yaʻqūb ibn Isḥāq', 'Yaʻqūb ibn Isḥāq'"	"'', 'Karkasani', 'Qirqisānī', 'al-Qirqisānī', 'al-Qirqisani', 'Kirkisānī', 'Qirqisani', ""Ya'qub Al-Qirqisani"", 'Kirkisani', 'Ḳirḳesani', 'Alḳirḳisani'"
