id	uri	name_translit	name_arabic	alias_names	birth_year	death_year	floruit_years	description
179	https://ismi.mpiwg-berlin.mpg.de/person/179	Quṭb al-Dīn Ḫusru Šāh	قطب الدين كخسرة شاه	 Khusru Shāh				TEXT[102449] was_created_by, TEXT[119174] was_created_by, TEXT[132949] was_created_by, TEXT[82458] was_created_by
254	https://ismi.mpiwg-berlin.mpg.de/person/254	Mawlānā Muḥammad Shāh Čelebī ibn al-Mollā Shams al-Dīn al-Fanārī		Mollā Fanārī, Fenārī				TEXT[119116] was_created_by, TEXT[51398] was_dedicated_to, TEXT[134578] was_created_by
380	https://ismi.mpiwg-berlin.mpg.de/person/380	Ḥusayn ibn al-Ḥusayn al-Ḫwārizmī al-Kubrawī 	حُسَين بن الحُسَين الخوارزمي الكُبرَوي 	Ḥusayn ibn al-Ḥasan al-Khwārizmī al-Kubrawī, Ḥusayn al-Kubrawī		1435		TEXT[414955] was_created_by
455	https://ismi.mpiwg-berlin.mpg.de/person/455	Qāḍīzāde: Ṣalāḥ al‐Dīn Mūsỳ ibn Muḥammad ibn Maḥmūd al-Rūmī	قاضي زاده: صلاح الدين موسى بن محمد بن محمود الرومي 	موسی بن محمد بن محمود, قاضي زاده الرومي, قاضي زاده, قاضي زادة الرومي, Ṣalāḥ al‐Dīn Mūsỳ ibn Muḥammad ibn al-Qāḍī Maḥmūd al-Burusawī al-Rūmī, Qāḍīzāde al-Rūmī, Mūsā Qāḍīzāde al-Rūmī, Mūsā ibn Maḥmūd al-Rūmī	1350	1440	1350	TEXT[1771] was_created_by, TEXT[56028] was_created_by, TEXT[139727] was_created_by, TEXT[440102] was_created_by, TEXT[142933] was_created_by, TEXT[122183] was_created_by, TEXT[262630] was_created_by, TEXT[139788] was_created_by, TEXT[103999] was_created_by, TEXT[117017] was_created_by, TEXT[138860] was_created_by, TEXT[83419] was_created_by, TEXT[155616] was_created_by, TEXT[124803] was_created_by, TEXT[118265] was_created_by, TEXT[421730] was_created_by, TEXT[104607] was_created_by, TEXT[143692] was_created_by, TEXT[164354] was_created_by, TEXT[121453] was_created_by, PLACE[85653] lived_in, PLACE[87301] lived_in, PLACE[310384] lived_in, PLACE[85246] lived_in, PLACE[362860] lived_in, PLACE[85627] lived_in, PLACE[362860] died_in, PERSON[532444] was_student_of, PERSON[5490] was_student_of, PERSON[438972] was_student_of, PERSON[1645] was_student_of, PERSON[105297] was_student_of, PERSON[439961] was_student_of, PERSON[439978] was_student_of, PLACE[85627] was_born_in, CODEX[41614] owned_by, WITNESS[41920] was_copied_by, MISIDENTIFICATION[496197] misattributed_to, MISATTRIBUTION[311472] misattributed_to
669	https://ismi.mpiwg-berlin.mpg.de/person/669	Taqī al-Dīn Abū al-ʿAbbās Aḥmad ibn ʿAlī ibn ʿAbd al-Qādir ibn Muḥammad al-Ḥusayn al-Makrīzī		Taqī al-Dīn Abū al-ʿAbbās Aḥmad al-Makrīzī, Makrīzī				TEXT[488020] was_created_by
730	https://ismi.mpiwg-berlin.mpg.de/person/730	Abū ʿAbdallāh Muḥammad ibn Muḥammad ibn Aḥmad ibn Muḥammad ibn al-ʿAṭṭār al-Bakrī	ابو عبدالله محمّد بن محمّد بن احمد بن محمّد بن العطّار البکري	Ibn al-ʿAṭṭār				TEXT[121268] was_created_by, TEXT[126691] was_created_by, TEXT[108608] was_created_by, TEXT[136798] was_created_by, TEXT[77094] was_created_by, TEXT[95541] was_created_by, TEXT[72324] was_created_by, TEXT[70786] was_created_by, TEXT[145073] was_created_by, TEXT[48447] was_created_by, TEXT[153669] was_created_by, TEXT[142096] was_created_by, PLACE[85658] lived_in
856	https://ismi.mpiwg-berlin.mpg.de/person/856	Ibn al-Majdī: Šihāb al-Dīn Abū al-ʿAbbās Aḥmad ibn Rajab ibn Ṭaybuġā al-Majdī al-Šāfiʿī	ابن المجدي: شهاب الدين أبو العبّاس أحمد بن رجب بن طيبغا المجدي الشافعي	شهاب الدين بن المجدى, شهاب الدين احمد بن المجدي الشافعي, شهاب الدين احمد بن المجدي, شهاب الدين احمد ابن المجدي الشافعي, شهاب الدين احمد ابن المجدي, شهاب الدين ابو العباس احمد ابن المجدي الشافعي, شهاب الدين ابن المجدي, شهاب الدين أحمد بن المجدي, احمد بن المجدي, ابو العباس بن المجدي, ابن المجدي, Shihāb al-Dīn Abū al-ʿAbbās Aḥmad ibn Rajab ibn Ṭaybughā al-Majdī al-Shāfiʿī, Šihāb al-Dīn ibn al-Majdī, Ibn al-Majdī, Aḥmad al-Majdī	1366	1447		TEXT[65548] was_created_by, TEXT[51480] was_created_by, TEXT[305402] was_created_by, TEXT[154896] was_created_by, TEXT[101479] was_created_by, TEXT[137565] was_created_by, TEXT[56441] was_created_by, TEXT[108930] was_created_by, TEXT[49262] was_created_by, TEXT[104063] was_created_by, TEXT[117324] was_created_by, TEXT[80440] was_created_by, TEXT[135194] was_created_by, TEXT[60379] was_created_by, TEXT[77958] was_created_by, TEXT[67256] was_created_by, TEXT[113132] was_created_by, TEXT[120000] was_created_by, TEXT[305390] was_created_by, TEXT[99498] was_created_by, TEXT[91170] was_created_by, TEXT[154263] was_created_by, TEXT[53705] was_created_by, TEXT[52291] was_created_by, TEXT[138169] was_created_by, TEXT[120855] was_created_by, TEXT[123834] was_created_by, TEXT[64243] was_created_by, TEXT[151909] was_created_by, TEXT[80740] was_created_by, TEXT[135684] was_created_by, TEXT[124054] was_created_by, PLACE[173189] lived_in, PLACE[85226] lived_in, PLACE[85226] died_in, PERSON[3061] was_student_of, PERSON[21049] was_student_of, PLACE[85226] was_born_in
961	https://ismi.mpiwg-berlin.mpg.de/person/961	Muṣṭafỳ	مصطفى				1495	WITNESS[454371] was_copied_by
992	https://ismi.mpiwg-berlin.mpg.de/person/992	ʿUmar ibn Ḥusayn Qaraḥiṣārī		القره حصارى, ʿUmar ibn Ḥusayn Qaraḥiṣārī, al-Qarah Ḥiṣārī 				TEXT[13061] was_created_by
1041	https://ismi.mpiwg-berlin.mpg.de/person/1041	Shaykh Abū al-Ḥasan al-Baghdādī		Shaykh Abū al-Ḥasan al-Baghdādī				TEXT[23344] was_created_by
