uri	name_translit	name_arabic	birth_date_ce	death_date_ce
https://ismi.mpiwg-berlin.mpg.de/person/293260	Abū ʿAbd Allāh Muḥammad al-Nāṣir	أبو عبد اللّه محمّد الناصر		
https://ismi.mpiwg-berlin.mpg.de/person/145512	Gelenbevī:Ismāʿīl ibn Muṣṭafỳ ibn Maḥmūd al-Gelenbawī (Galanbawī):	اسماعيل بن مضطفى بن محمود الكلنبوي		1790
https://ismi.mpiwg-berlin.mpg.de/person/502123	Maqāmī Suleymān ibn Muṣṭafỳ ibn Kamālī	مقامي سليمان بن مصطفى بن كمالي		1795
https://ismi.mpiwg-berlin.mpg.de/person/5906	Muḥammad ibn Maḥmūd al-Āmulī	محمد بن محمود الآملي		1352
https://ismi.mpiwg-berlin.mpg.de/person/95451	Abū Aḥmad Yaḥyỳ ibn ʿAlī Yaḥyỳ ibn Abī Manṣūr al-Munajjim	أبو أحمد  يحيى بن علي بن يحيى بن أبي منصور المنجّم	856	912
https://ismi.mpiwg-berlin.mpg.de/person/49243	Abū al-Baqāʾ Ṣāliḥ ibn ʿAlī ibn Šarīf ibn Yazīd ibn Muḥammad al-Rundī	أبو البقاء صالح بن علي بن شريف بن يزيد بن محمد الرندي	1204	1285
https://ismi.mpiwg-berlin.mpg.de/person/30236	Abū al-BaqāʾʿAbd Allāh ibn al-Ḥusayn ibn ʿAbd Allāh al-ʿUkbarī	أبو البقاء عبد الله بن الحسين بن عبد الله العكبري		1219
https://ismi.mpiwg-berlin.mpg.de/person/62019	Abū al-Barakāt Muḥammad ibn al-Faḍl ibn Aḥmad al-Ṣāʿidī al-Nīsābūrī al-Furāwī	ابو البرکات محمد بن الفضل بن احمد الصاعدي النيسابوري الفراوي	1049	1135
https://ismi.mpiwg-berlin.mpg.de/person/54648	Abū al-Faḍl al-Ḥayyānī	أبو الفضل الحيّاني		
https://ismi.mpiwg-berlin.mpg.de/person/55606	Abū al-Faḍl Jāʿfar ibn al-Muktafī	أبو الفضل جعفر بن المكتفي	907	987
https://ismi.mpiwg-berlin.mpg.de/person/61890	Abū Al-Faḍl Muḥammad ibn Aḥmad al-Ṭabasī	ابو الفضل محمد بن احمد الطبسي		1089
https://ismi.mpiwg-berlin.mpg.de/person/101978	Abū al-Faḍl ʿAbd al-Ḥamīd ibn Wāsiʿ ibn Turk al-Ḫuttalī al-Ḥāsib	أبو الفضل عبد الحميد بن واسع بن ترك الختّلي الحاسب		
https://ismi.mpiwg-berlin.mpg.de/person/53186	Abū al-Faraj Muḥammad ibn Abī Yaʿqūb ibn Isḥāq al-Nadīm al-Warrāq al-Baġdādī	أبو الفرج محمد بن أبي يعقوب بن إسحاق النديم الورّاق البغدادي		993
https://ismi.mpiwg-berlin.mpg.de/person/43521	Abū al-Fatḥ Kamāl al-Dīn Mūsỳ ibn Yūnis ibn Muḥammad ibn Manʿaẗ al-Šāfiʿī	أبو الفتح كمال الدين موسى بن يونس بن محمد بن منعة الشافعي	1156	1242
https://ismi.mpiwg-berlin.mpg.de/person/71481	Abū al-Fatḥ Maḥmūd ibn Muḥammad ibn Qāsim ibn Faḍl al-Iṣfahānī	أبو الفتح محمود بن محمد بن قاسم بن فضل الإصفهاني		
https://ismi.mpiwg-berlin.mpg.de/person/438972	Abū al-Fatḥ Muḥammad al-Hādī ibn Abī Saʿīd al-Ḥusaynī al-ʿIraqī al-Ardabīlī Tāj al-Saʿīdī	أبو الفتح محمّد الهادي بن أبي سعيد الحسيني العراقي الأردبيلي تاج السعيدي		
https://ismi.mpiwg-berlin.mpg.de/person/185924	Abū al-Fatḥ Muḥammad ibn al-ʿAbd al-Malik al-Dawwānī	أبو الفتح محمد بن العبد الملك الدوّاني		
https://ismi.mpiwg-berlin.mpg.de/person/60106	Abū al-Fatḥ Saʿīd ibn Ḫafīf al-Samarqandī	أبو الفتح سعيد بن خفيف السمرقندي	900	1000
https://ismi.mpiwg-berlin.mpg.de/person/35984	Abū al-Fatḥ ʿAbd al-Raḥmān al-Ḫāzinī	أبو الفتح عبد الرحمن الخازني		
https://ismi.mpiwg-berlin.mpg.de/person/25718	Abū al-Futūḥ Šihāb al-Dīn Yaḥyỳ ibn Ḥabaš ibn Amīrak al-Suhrawardī	أبو الفتوح شهاب الدين يحيى بن حبش بن أميرك السهروردي	1154	1191
https://ismi.mpiwg-berlin.mpg.de/person/186519	Abū al-Ġanāʾim Muslim ibn Maḥmūd ibn Niʿmah ibn Arslān al-Šayzārī	أبو الغنائم مسلم بن محمود بن نعمة بن أرسلان الشيزاري		1240
https://ismi.mpiwg-berlin.mpg.de/person/56290	Abū al-Ḥajjāj Yūsuf ibn Aḥmad al-Nīsābūrī	أبو الحجّاج يوسف بن أحمد النيسابوري		
https://ismi.mpiwg-berlin.mpg.de/person/31145	Abū al-Ḥajjāj Yūsuf ibn Yaḥyỳ ibn Isḥāq al-Sabtī al-Isrāʾīlī	أبو الحجّاج يوسف بن يحيی بن إسحاق السبتي الإسرائيلي		1226
https://ismi.mpiwg-berlin.mpg.de/person/99414	Abū al-Ḥamīd ibn ʿAbd al-ʿAzīz al-Qāḍī	أبو الحميد بن عبد العزيز القاضي		905
https://ismi.mpiwg-berlin.mpg.de/person/71278	Abū al-Ḥasan Āḏarḫūrā-yi Yazdānḫasīs Jašnis	أبو الحسن آذرخورا يزدانخسيس جشنس		
https://ismi.mpiwg-berlin.mpg.de/person/466456	Abū al-Ḥasan Aḥmad al-Sahlī	أبو الحسن أحمد السهلي		
https://ismi.mpiwg-berlin.mpg.de/person/56553	Abū al-Ḥasan Aḥmad ibn Ibrāhīm al-Uqlīdisī	أبو الحسن أحمد بن إبراهيم الأقليدسي		
https://ismi.mpiwg-berlin.mpg.de/person/186072	Abū al-Ḥasan Aḥmad ibn Muḥammad ibn Ibrāhīm al-Ašʿarī al-Yamanī al-Nassābah al-Ḥanafī	أبو الحسن أحمد بن محمد بن إبراهيم الأشعري اليمني النسّابة الحنفي		
https://ismi.mpiwg-berlin.mpg.de/person/102668	Abū al-Ḥasan Aḥmad ibn Yūsuf ibn Ibrāhīm ibn al-Dāyaẗ	أبو الحسن أحمد بن يوسف بن إبراهيم بن الداية	796	878
https://ismi.mpiwg-berlin.mpg.de/person/72071	Abū al-Ḥasan al-Miṣrī al-Samarqandī	أبو الحسن المصري السمرقندي		
