uri	related-uri	ccodes	matches	lon	lat
http://data.geo-kima.org/Place/12385	https://ismi.mpiwg-berlin.mpg.de/place/88263	TR	https://www.wikidata.org/wiki/Q38545;https://www.geonames.org/325363	35.325	37
http://data.geo-kima.org/Place/11337	https://ismi.mpiwg-berlin.mpg.de/place/85243	YE	https://www.wikidata.org/wiki/Q131694;https://www.geonames.org/415189	45.033333333333	12.8
http://data.geo-kima.org/Place/7934	https://ismi.mpiwg-berlin.mpg.de/place/179798		https://www.wikidata.org/wiki/Q889	66	34
http://data.geo-kima.org/Place/16862	https://ismi.mpiwg-berlin.mpg.de/place/87434	TR			
http://data.geo-kima.org/Place/10450	https://ismi.mpiwg-berlin.mpg.de/place/361847	IR	https://www.wikidata.org/wiki/Q170366;https://www.geonames.org/144448	48.669166666667	31.320277777778
http://data.geo-kima.org/Place/6770	https://ismi.mpiwg-berlin.mpg.de/place/87782	IN	https://www.geonames.org/1279259	78.01667	27.18333
http://data.geo-kima.org/Place/7903	https://ismi.mpiwg-berlin.mpg.de/place/173275		https://www.wikidata.org/wiki/Q262	1	28
http://data.geo-kima.org/Place/8988	https://ismi.mpiwg-berlin.mpg.de/place/86794	IN	https://www.wikidata.org/wiki/Q201832	78.08	27.88
http://data.geo-kima.org/Place/16980	https://ismi.mpiwg-berlin.mpg.de/place/525362	TR	https://www.wikidata.org/wiki/Q170532;https://www.geonames.org/752015	35.833333333333	40.65
http://data.geo-kima.org/Place/6430	https://ismi.mpiwg-berlin.mpg.de/place/87724	TR	https://www.wikidata.org/wiki/Q3640;https://www.geonames.org/323786	32.85	39.93
http://data.geo-kima.org/Place/11503	https://ismi.mpiwg-berlin.mpg.de/place/462175	TR	https://www.wikidata.org/wiki/Q200441	36.181666666666665	36.20472222222222
http://data.geo-kima.org/Place/7886	https://ismi.mpiwg-berlin.mpg.de/place/411067	TR	https://www.wikidata.org/wiki/Q6487;https://www.geonames.org/323777	30.69556	36.90812
http://data.geo-kima.org/Place/23252	https://ismi.mpiwg-berlin.mpg.de/place/325114		https://www.geonames.org/10473957	79.58707	27.35639
http://data.geo-kima.org/Place/642	https://ismi.mpiwg-berlin.mpg.de/place/87019	TM	https://www.wikidata.org/wiki/Q23438;https://www.geonames.org/162183	58.38333	37.95
http://data.geo-kima.org/Place/7645	https://ismi.mpiwg-berlin.mpg.de/place/173483		https://www.wikidata.org/wiki/Q40	14	48
http://data.geo-kima.org/Place/10819	https://ismi.mpiwg-berlin.mpg.de/place/87149	LB	https://www.wikidata.org/wiki/Q178835;https://www.geonames.org/277130	36.208611111111	34.006111111111
http://data.geo-kima.org/Place/7482	https://ismi.mpiwg-berlin.mpg.de/place/437004		https://www.wikidata.org/wiki/Q398	50.551111	26.0675
http://data.geo-kima.org/Place/507	https://ismi.mpiwg-berlin.mpg.de/place/87016	AZ	https://www.wikidata.org/wiki/Q9248;https://www.geonames.org/587084	49.835183333	40.366655555
http://data.geo-kima.org/Place/16831	https://ismi.mpiwg-berlin.mpg.de/place/86680	TR	https://www.wikidata.org/wiki/Q199723;https://www.geonames.org/322165	27.884166666667	39.651111111111
http://data.geo-kima.org/Place/13742	https://ismi.mpiwg-berlin.mpg.de/place/153791	AF	https://www.wikidata.org/wiki/Q182159;https://www.geonames.org/1147290	66.898888888889	36.758055555556
http://data.geo-kima.org/Place/10774	https://ismi.mpiwg-berlin.mpg.de/place/179186		https://www.wikidata.org/wiki/Q902	89.866667	24.016667
http://data.geo-kima.org/Place/8875	https://ismi.mpiwg-berlin.mpg.de/place/40827	IN	https://www.wikidata.org/wiki/Q80484;https://www.geonames.org/1260086	85.141388888889	25.61
http://data.geo-kima.org/Place/9530	https://ismi.mpiwg-berlin.mpg.de/place/179327				
http://data.geo-kima.org/Place/575	https://ismi.mpiwg-berlin.mpg.de/place/88007	BE	https://www.wikidata.org/wiki/Q239;https://www.geonames.org/2800866	4.3547	50.8467
http://data.geo-kima.org/Place/9368	https://ismi.mpiwg-berlin.mpg.de/place/449376		https://www.wikidata.org/wiki/Q219	23.32415	42.69751
http://data.geo-kima.org/Place/19427	https://ismi.mpiwg-berlin.mpg.de/place/88226	TR	https://www.wikidata.org/wiki/Q211811;https://www.geonames.org/320392	30.283333333333	37.716666666667
http://data.geo-kima.org/Place/8181	https://ismi.mpiwg-berlin.mpg.de/place/86381	IN	https://www.wikidata.org/wiki/Q1348;https://www.geonames.org/5148883	88.337777777778	22.541111111111
http://data.geo-kima.org/Place/9140	https://ismi.mpiwg-berlin.mpg.de/place/414387	ES	https://www.wikidata.org/wiki/Q63092	-5.6422222222222	37.471111111111
http://data.geo-kima.org/Place/1968	https://ismi.mpiwg-berlin.mpg.de/place/93084				
http://data.geo-kima.org/Place/390	https://ismi.mpiwg-berlin.mpg.de/place/87876	DK	https://www.wikidata.org/wiki/Q1748;https://www.geonames.org/2618425	12.568888888	55.676111111
http://data.geo-kima.org/Place/8964	https://ismi.mpiwg-berlin.mpg.de/place/87313	EG	https://www.wikidata.org/wiki/Q189383;https://www.geonames.org/358048	31.816666666667	31.416666666667
http://data.geo-kima.org/Place/6281	https://ismi.mpiwg-berlin.mpg.de/place/179170				
