id	title	variants	types	aat_types	title_source	title_uri	parent_name	parent_id	start	attestation_year	description
1129	Göttingen		city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/1129	http://ismi.mpiwg-berlin.mpg.de/place/1129	Germany	#174492	0800	2006	"[""REPOSITORY[69505] is_in""]"
2066	Azhar		madrasa;madrasa2;madrasa3	300263741;300006617;300008063	http://ismi.mpiwg-berlin.mpg.de/place/2066	http://ismi.mpiwg-berlin.mpg.de/place/2066	Cairo	#85226	0800	2006	"[""WITNESS[414319] was_copied_in"", ""WITNESS[124739] was_copied_in""]"
4404	Shirwān	Shirwān, Shamākhi	city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/4404	http://ismi.mpiwg-berlin.mpg.de/place/4404	Azerbaijan	#178920	0800	2006	"[""PERSON[143434] was_born_in"", ""PERSON[532444] lived_in"", ""PERSON[532444] died_in"", ""PERSON[532444] was_born_in""]"
19074	Trebizond	Trebizond (Trabzon)	city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/19074	http://ismi.mpiwg-berlin.mpg.de/place/19074			0800	2006	"[""PERSON[272829] was_born_in"", ""WITNESS[442655] was_copied_in"", ""PERSON[348855] lived_in"", ""PERSON[19264] died_in""]"
22073	Madrasa of Sultan al-Malik al-Ashraf Barsbāy		city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/22073	http://ismi.mpiwg-berlin.mpg.de/place/22073	Cairo	#85226	0800	2006	"[""WITNESS[114866] was_copied_in""]"
23251	Madrasaẗ Šayḫ Muḥammad Afandī		madrasa;madrasa2;madrasa3	300263741;300006617;300008063	http://ismi.mpiwg-berlin.mpg.de/place/23251	http://ismi.mpiwg-berlin.mpg.de/place/23251			0800	2006	"[""WITNESS[23432] was_copied_in""]"
24616	Erfurt		city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/24616	http://ismi.mpiwg-berlin.mpg.de/place/24616	Germany	#174492	0800	2006	"[""PERSON[24600] was_born_in""]"
25201	Bourron		city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/25201	http://ismi.mpiwg-berlin.mpg.de/place/25201	France	#174775	0800	2006	"[""PERSON[24600] died_in""]"
25264	Khuzistan		country	300387506	http://ismi.mpiwg-berlin.mpg.de/place/25264	http://ismi.mpiwg-berlin.mpg.de/place/25264	Iran	#174469	0800	2006	"[""PERSON[25305] lived_in"", ""PERSON[63097] lived_in""]"
25277	Tiflis	Tiflis (Tbilisi)	city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/25277	http://ismi.mpiwg-berlin.mpg.de/place/25277	Georgia	#179183	0800	2006	"[""PERSON[25305] lived_in"", ""PERSON[44590] lived_in""]"
33055	Kapūrt’halah	Kapūrt’halah, India	city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/33055	http://ismi.mpiwg-berlin.mpg.de/place/33055	India	#174638	0800	2006	"[""REPOSITORY[72177] is_in""]"
34602	Lār		city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/34602	http://ismi.mpiwg-berlin.mpg.de/place/34602			0800	2006	"[""PERSON[13385] lived_in"", ""PERSON[13385] was_born_in"", ""PERSON[115672] was_born_in""]"
38142	Madrasah Šāh zādah Muḥammad Ḫān		madrasa;madrasa2;madrasa3	300263741;300006617;300008063	http://ismi.mpiwg-berlin.mpg.de/place/38142	http://ismi.mpiwg-berlin.mpg.de/place/38142	unknown country	#200567	0800	2006	"[""STUDY_EVENT[38134] was_studied_in""]"
38383	Vatican City		city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/38383	http://ismi.mpiwg-berlin.mpg.de/place/38383	Vatican City State	#43921	0800	2006	"[""REPOSITORY[89393] is_in""]"
38689	Toronto		city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/38689	http://ismi.mpiwg-berlin.mpg.de/place/38689	Canada	#179459	0800	2006	"[""REPOSITORY[38696] is_in"", ""REPOSITORY[502206] is_in""]"
40827	Bankipore		city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/40827	http://ismi.mpiwg-berlin.mpg.de/place/40827			0800	2006	"[""REPOSITORY[29011] is_in""]"
43390	Niẓāmiyya		madrasa;madrasa2;madrasa3	300263741;300006617;300008063	http://ismi.mpiwg-berlin.mpg.de/place/43390	http://ismi.mpiwg-berlin.mpg.de/place/43390	Baghdad	#167760	0800	2006	"[""WITNESS[164164] was_copied_in"", ""WITNESS[46700] was_copied_in""]"
43921	Vatican City State		country	300387506	http://ismi.mpiwg-berlin.mpg.de/place/43921	http://ismi.mpiwg-berlin.mpg.de/place/43921			0800	2006	"[""PLACE[38383] is_part_of""]"
