uri	title_translit	title_arabic	creation_date_ce	author_uri
https://ismi.mpiwg-berlin.mpg.de/text/41182	Adwār al-anwār madỳ al-duhūr wa-al-akwār	أدوار الأنوار مدى الدهور والأكوار	1276	https://ismi.mpiwg-berlin.mpg.de/person/37929
https://ismi.mpiwg-berlin.mpg.de/text/113860	Aḫbār al-munajjimīn	أخبار المنجّمين		https://ismi.mpiwg-berlin.mpg.de/person/102668
https://ismi.mpiwg-berlin.mpg.de/text/102498	Ahjazdbud [A]	أهجزدبد		https://ismi.mpiwg-berlin.mpg.de/person/184234
https://ismi.mpiwg-berlin.mpg.de/text/148271	Ahjazdbud [P]	أهجزدبد		https://ismi.mpiwg-berlin.mpg.de/person/184234
https://ismi.mpiwg-berlin.mpg.de/text/128383	Aḥkām-i aʿwām	احكام اعوام		https://ismi.mpiwg-berlin.mpg.de/person/42698
https://ismi.mpiwg-berlin.mpg.de/text/156911	Aḥkām-i nujūm	احكام نجوم		https://ismi.mpiwg-berlin.mpg.de/person/76792
https://ismi.mpiwg-berlin.mpg.de/text/155491	Al-Zīj al-mamarrāt	الزيج الممرّات		https://ismi.mpiwg-berlin.mpg.de/person/63770
https://ismi.mpiwg-berlin.mpg.de/text/481986	[Poem on Surveying]			https://ismi.mpiwg-berlin.mpg.de/person/186560
https://ismi.mpiwg-berlin.mpg.de/text/130881	Abwāb lā yastaġnī man yarūmu ʿamal al-asṭurlāb ʿanhā wa istashaltuhā min al-šakl al-qaṭṭāʿ	أبواب لا يستغني من يروم عمل الأسطرلاب عنها واستسهلتها من الشكل القطّاع		https://ismi.mpiwg-berlin.mpg.de/person/50599
https://ismi.mpiwg-berlin.mpg.de/text/88855	al-Ariṯmāṭīqī	الأرثماطيقي		https://ismi.mpiwg-berlin.mpg.de/person/74607
https://ismi.mpiwg-berlin.mpg.de/text/145975	al-Arkān fī al-muʿāmalāt ʿalỳ ṭarīq al-burhān	الأركان في المعاملات علی طريق البرهان		https://ismi.mpiwg-berlin.mpg.de/person/76365
https://ismi.mpiwg-berlin.mpg.de/text/464853	al-Arṣād al-kulliyyaẗ wa-maʿrifat tarkīb al-aflāk ka-al-muḫtaṣar min kitāb al-Majisṭī	الأرصاد الكلّية ومعرفة تركيب الأفلاك كالمختصر من كتاب المجسطي	1012	https://ismi.mpiwg-berlin.mpg.de/person/74607
https://ismi.mpiwg-berlin.mpg.de/text/115364	al-Ašiʿaẗ al-lāmiʿaẗ fī al-ʿamal bi-al-ālaẗ al-jāmiʿaẗ	الأشعة اللامعة في العمل بالآلة الجامعة		https://ismi.mpiwg-berlin.mpg.de/person/10017
https://ismi.mpiwg-berlin.mpg.de/text/74635	al-Aškāl al-šāhiyyaẗ fī al-ʿamal bi-al-muqanṭarāt	الأشكال الشاهيّة في العمل بالمقنطرات		https://ismi.mpiwg-berlin.mpg.de/person/39022
https://ismi.mpiwg-berlin.mpg.de/text/139308	al-Aškāl allatī yajibu an tuḍāfa ilỳ al-ukar ḥattỳ yufhamu al-Majisṭī ʿalỳ al-ḥaqīqaẗ min ġayr taqrīb	الأشكال التي يجب ان تضاف إلى الأكر حتى يفحم المجسطي على الحقيقة من غير تقريب		https://ismi.mpiwg-berlin.mpg.de/person/27255
https://ismi.mpiwg-berlin.mpg.de/text/155577	al-Āṯār al-bāqiyyaẗ min al-qurūn al-ḫāliyyaẗ	الآثار الباقية من القرون الخاليّة		https://ismi.mpiwg-berlin.mpg.de/person/70924
https://ismi.mpiwg-berlin.mpg.de/text/51303	al-Awzān fī ʿilm al-mīzān	الأوزان في علم الميزان		https://ismi.mpiwg-berlin.mpg.de/person/69904
https://ismi.mpiwg-berlin.mpg.de/text/138864	al-Badīʿ fī al-ḥisāb	البديع في الحساب		https://ismi.mpiwg-berlin.mpg.de/person/76981
https://ismi.mpiwg-berlin.mpg.de/text/133660	al-Bāliġ fī šarḥ kitāb Uqlīdis	البالغ في شرح كتاب أقليدس		https://ismi.mpiwg-berlin.mpg.de/person/72419
https://ismi.mpiwg-berlin.mpg.de/text/84913	al-Bāriʿ fī aḥkām al-nujūm wa-al-ṭawāliʿ	البارع في أحکام النجوم والتوالع		https://ismi.mpiwg-berlin.mpg.de/person/104894
https://ismi.mpiwg-berlin.mpg.de/text/106047	al-Barq al-lāmiʿ fī al-ʿamal bi-al-rubʿ al-jāmiʿ	البرق اللامع في العمل بالربع الجامع		https://ismi.mpiwg-berlin.mpg.de/person/10017
https://ismi.mpiwg-berlin.mpg.de/text/118905	al-Baṣaʾir fī ʿilm al-manāẓir fī al-ḥikmaẗ	البصائر في علم المناظر في الحكمة		https://ismi.mpiwg-berlin.mpg.de/person/6511
https://ismi.mpiwg-berlin.mpg.de/text/363650	Aḥsan al-taqāsīm fī maʿrifaẗ al-āqālīm	أحسن التقاسيم في معرفة الأقاليم		https://ismi.mpiwg-berlin.mpg.de/person/183558
https://ismi.mpiwg-berlin.mpg.de/text/100312	Ajāib al-makhlūqāt wa-gharāʾib al-mawjūdāt (al-Tusi)			https://ismi.mpiwg-berlin.mpg.de/person/27331
https://ismi.mpiwg-berlin.mpg.de/text/64157	Ajwiba <ʿan> ʿasharat masāʾil			https://ismi.mpiwg-berlin.mpg.de/person/74607
https://ismi.mpiwg-berlin.mpg.de/text/50969	Ajwibaẗ al-Šayḫ al-Raʾīs ʿan masāʾil Abī al-Rayḥān al-Bīrūnī	أجوبة الشيخ الرئيس عن مسائل أبي الريحان البيروني		https://ismi.mpiwg-berlin.mpg.de/person/74607
https://ismi.mpiwg-berlin.mpg.de/text/128864	Ajwibaẗ ʿan masāʾil saʾalahu ʿanhā baʿḍ muhandisī Šīrāz	أجوبة عن مسائل سأله عنها بعض مهندسي شيراز		https://ismi.mpiwg-berlin.mpg.de/person/78352
https://ismi.mpiwg-berlin.mpg.de/text/396517	Ajwibaẗ ʿan sabʿaẗ masāʾil taʿlīmiyyaẗ suʾila anhā bi-Baġdād	أجوبة عن سبعة مسائل تعليمية سئل عنها ببغداد		https://ismi.mpiwg-berlin.mpg.de/person/74095
